Oder_id,Time_id,Customer_Id,Product_id,Order_Quantity
1,1,1,1,8
2,2,1,1,8
3,3,2,1,23
4,4,2,1,20
5,5,3,1,4
6,6,3,1,5
7,7,4,1,4
8,8,4,1,2
9,9,5,1,22
10,10,5,1,21
11,11,6,1,8
12,12,6,1,8
13,13,7,1,7
14,14,7,1,7
15,15,8,1,5
16,16,8,1,7
17,17,8,1,2
18,18,8,1,1
19,19,8,1,1
20,20,8,1,1
21,21,8,1,6
22,22,8,1,8
23,23,9,1,9
24,24,9,1,7
25,25,10,1,3
26,26,10,1,1
27,27,10,1,6
28,28,10,1,5
29,29,11,1,4
30,30,11,1,4
31,31,11,1,20
32,32,11,1,22
33,33,12,1,24
34,34,12,1,23
35,35,13,1,9
36,36,13,1,9
37,37,14,1,25
38,38,14,1,23
39,39,15,1,10
40,40,15,1,10
41,41,15,1,11
42,42,15,1,11
43,43,16,1,8
44,44,16,1,10
45,45,17,1,2
46,46,17,1,1
47,47,18,1,12
48,48,18,1,14
49,49,19,1,3
50,50,19,1,1
51,13,20,1,8
52,14,20,1,8
53,51,21,1,28
54,52,21,1,27
55,53,22,1,9
56,54,22,1,6
57,55,23,1,6
58,56,23,1,7
59,57,24,1,15
60,58,24,1,15
61,59,25,1,6
62,60,25,1,3
63,61,26,1,6
64,62,26,1,8
65,1,27,1,7
66,2,27,1,8
67,63,28,1,1
68,64,28,1,1
69,65,28,1,10
70,66,28,1,12
71,67,29,1,4
72,68,29,1,3
73,69,29,1,2
74,70,29,1,2
75,71,29,1,10
76,72,29,1,7
77,73,29,1,13
78,74,29,1,12
79,75,30,1,7
80,76,30,1,6
81,77,31,1,7
82,78,31,1,9
83,79,32,1,6
84,80,32,1,4
85,81,32,1,17
86,82,32,1,16
87,83,33,1,1
88,84,33,1,3
89,85,34,1,5
90,86,34,1,4
91,87,34,1,30
92,88,34,1,27
93,21,34,1,5
94,22,34,1,2
95,89,35,1,28
96,90,35,1,29
97,91,36,1,3
98,92,36,1,1
99,93,37,1,8
100,94,37,1,9
101,95,37,1,26
102,96,37,1,27
103,97,38,1,5
104,98,38,1,3
105,99,38,1,15
106,100,38,1,15
107,33,39,1,1
108,34,39,1,3
109,101,40,1,17
110,102,40,1,16
111,103,41,1,10
112,104,41,1,10
113,105,41,1,10
114,106,41,1,9
115,107,42,1,3
116,108,42,1,2
117,109,43,1,4
118,110,43,1,2
119,111,44,1,3
120,112,44,1,1
121,29,45,1,5
122,30,45,1,3
123,113,46,1,1
124,114,46,1,1
125,115,47,1,2
126,116,47,1,1
127,117,48,1,3
128,118,48,1,5
129,119,49,1,12
130,120,49,1,12
131,121,50,1,4
132,122,50,1,3
133,123,51,1,5
134,124,51,1,7
135,125,52,1,2
136,126,52,1,3
137,127,53,1,2
138,128,53,1,3
139,21,54,1,3
140,22,54,1,2
141,129,55,1,5
142,130,55,1,7
143,131,56,1,2
144,132,56,1,3
145,91,57,1,10
146,92,57,1,9
147,133,57,1,5
148,134,57,1,2
149,135,58,1,8
150,136,58,1,8
151,137,59,1,7
152,138,59,1,8
153,55,60,1,5
154,56,60,1,7
155,139,61,1,7
156,140,61,1,6
157,141,62,1,1
158,142,62,1,1
159,143,63,1,10
160,144,63,1,12
161,145,63,1,4
162,146,63,1,6
163,147,64,1,2
164,148,64,1,1
165,149,65,1,6
166,150,65,1,7
167,97,66,1,9
168,98,66,1,9
169,151,67,1,25
170,152,67,1,22
171,63,67,1,11
172,64,67,1,11
173,153,68,1,2
174,154,68,1,1
175,109,69,1,4
176,110,69,1,6
177,155,69,1,9
178,156,69,1,6
179,157,70,1,15
180,158,70,1,15
181,159,71,1,7
182,160,71,1,8
183,161,71,1,30
184,162,71,1,29
185,163,71,1,6
186,164,71,1,6
187,165,72,1,10
188,166,72,1,9
189,167,73,1,12
190,168,73,1,9
191,169,73,1,3
192,170,73,1,3
193,171,74,1,30
194,172,74,1,30
